0_0_dx,0_0_dy,0_1_dx,0_1_dy,0_2_dx,0_2_dy,1_0_dx,1_0_dy,1_1_dx,1_1_dy,1_2_dx,1_2_dy,2_0_dx,2_0_dy,2_1_dx,2_1_dy,2_2_dx,2_2_dy,angle
47.1838,52.8444,47.6049,49.9439,47.186,47.1984,49.8438,52.8286,49.9823,49.9609,49.9237,47.0669,52.7799,52.736,52.679,49.9094,52.8174,47.2495,-1.55
47.1956,52.8533,47.3398,49.9631,47.2066,47.1906,49.8318,52.7631,50.0022,49.9565,49.9308,47.0287,52.8048,52.7709,52.7724,49.8839,52.9112,47.1598,-1.6
47.1348,52.973,47.2886,49.9288,47.0349,47.1827,49.8405,52.7809,50.0141,50.0032,49.8448,46.9223,52.8958,52.8471,52.8337,49.9628,52.9371,47.0765,-1.65
47.0831,53.0451,47.1117,49.8953,46.9978,47.1309,49.7797,52.8062,49.9878,49.9693,49.8837,46.9375,52.9606,52.9184,52.8812,49.95,53.0104,47.0455,-1.7
47.08,53.0428,47.1269,49.9517,46.9101,47.0495,49.7372,52.9211,50.0091,49.9573,49.9259,46.8285,52.9226,52.9675,52.9568,49.9704,53.0985,46.909,-1.75
46.9728,53.0822,46.9962,49.9323,46.8605,46.9833,49.8041,52.9902,50.0002,49.9606,49.8922,46.846,53.0856,53.0109,53.0751,49.8547,53.1579,46.4586,-1.8
46.9576,53.1056,46.8933,50.0017,46.7414,46.9081,49.8265,53.1541,49.9858,49.9463,49.9702,46.8607,53.0867,53.153,53.1195,49.91,53.226,46.4804,-1.85
46.8515,53.191,46.8087,49.9967,46.7185,46.8234,49.8557,53.1914,49.9851,49.9768,49.8253,46.6855,53.1972,53.2203,53.1661,49.8667,53.3367,46.5096,-1.9
46.7092,53.6213,46.8709,50.0234,46.6952,46.7776,49.8137,53.1941,49.9704,49.9409,49.8933,46.3292,53.6638,53.3156,53.256,49.8804,53.4747,46.4883,-1.95
46.6374,53.7041,46.7686,49.9977,46.3098,46.7055,49.7791,53.2219,49.983,49.9447,49.8538,46.2201,53.7461,53.3608,53.26,49.8411,53.508,46.4055,-2.0
46.5786,53.7789,46.7053,49.9913,46.2139,46.6473,49.8111,53.2263,49.9566,49.9471,49.8879,46.1132,53.8272,53.3773,53.6572,49.924,53.7242,46.4523,-2.05
46.2672,53.8349,46.6883,49.9646,46.2689,46.5455,49.8189,53.3038,49.9951,49.9693,49.9914,46.051,53.8347,53.4576,53.6804,49.9623,53.7493,46.3049,-2.1
46.2573,53.8438,46.683,50.0345,46.2156,46.5494,49.7858,53.7046,49.9974,49.9732,49.8497,45.9848,53.847,53.8649,53.7734,49.9256,53.9091,46.3068,-2.15
46.3027,54.0205,46.66,49.9966,46.0596,46.2199,49.7248,53.7399,49.9523,49.9548,49.8986,45.8979,53.8688,53.8415,53.8692,49.9017,53.8931,46.1522,-2.2
46.1768,53.968,46.5574,49.9947,45.9425,46.2454,49.7737,53.7661,49.9375,49.9223,49.8296,45.768,53.8559,53.9463,53.9009,49.917,53.853,45.7467,-2.25
46.0775,54.001,46.1316,49.5544,45.8867,46.1465,49.7764,53.8345,49.9673,49.9343,49.8111,45.7897,53.9299,54.001,53.9222,49.972,53.965,45.6261,-2.3
46.0559,54.0298,46.0701,49.526,45.755,46.0447,49.7033,53.9778,49.9552,49.913,49.7714,45.7215,53.988,54.0804,54.0073,50.0341,54.0879,45.6447,-2.35
46.022,54.0653,45.9385,49.5234,45.7616,45.9513,49.743,53.9642,49.9282,49.9223,49.8055,45.6768,54.053,54.1415,53.9766,49.9609,54.1349,45.5259,-2.4
45.8448,54.0957,45.8077,49.485,45.7686,45.9511,49.7819,54.0615,49.9464,49.9118,49.8724,45.7736,54.1985,54.2071,54.0602,49.9349,54.1344,45.7919,-2.45
